Label,Distance,StrafingIntensity,AngularVelocity,ReactionTime
AI,5.037,0.301,10.348,-2.000
AI,4.992,0.340,7.279,-2.000
AI,5.000,0.340,21.460,-2.000
AI,5.010,0.340,14.993,-2.000
AI,5.021,0.340,10.464,-2.000
AI,5.033,0.340,7.274,-2.000
AI,5.047,0.095,5.080,-2.000
AI,5.039,0.095,20.410,-2.000
AI,5.031,0.095,14.236,-2.000
AI,5.024,0.095,9.907,-2.000
AI,5.019,0.095,6.854,-2.000
AI,5.013,0.016,4.743,-2.000
AI,4.970,0.016,19.912,-2.000
AI,4.928,0.016,14.006,-2.000
AI,4.886,0.016,9.876,-2.000
AI,4.844,0.016,6.971,-2.000
AI,4.803,0.109,4.969,-2.000
AI,4.725,0.109,16.063,-2.000
AI,4.648,0.109,11.280,-2.000
AI,4.571,0.109,7.915,-2.000
AI,4.495,0.109,5.611,-2.000
AI,4.420,0.043,3.996,-2.000
AI,4.348,0.043,16.940,-2.000
AI,4.276,0.043,11.845,-2.000
AI,4.204,0.043,8.246,-2.000
AI,4.133,0.043,5.774,-2.000
AI,4.062,0.036,4.030,-2.000
AI,3.966,0.036,21.538,-2.000
AI,3.871,0.036,15.147,-2.000
AI,3.776,0.036,10.684,-2.000
AI,3.682,0.036,7.550,-2.000
AI,3.588,0.076,5.401,-2.000
AI,3.495,0.076,15.581,-2.000
AI,3.401,0.076,10.907,-2.000
AI,3.308,0.076,7.613,-2.000
AI,3.215,0.076,5.345,-2.000
